ID	ELEMENT SYMBOL	ENERGY	INTENSITY	ISOTOPE ABUNDANCE
80170010012	O	2430.680	1.419e-01	3.800e-04
80170010013	O	2473.290	2.054e-01	3.800e-04
80170010014	O	2666.400	1.076e-01	3.800e-04
80170010015	O	2946.600	1.859e-01	3.800e-04
80170010016	O	3115.400	1.370e-01	3.800e-04
80170010017	O	3395.390	9.294e-02	3.800e-04
80170010018	O	3588.500	3.669e-01	3.800e-04
80170010019	O	3919.980	2.935e-02	3.800e-04
80170010020	O	4369.230	8.315e-02	3.800e-04
90190010001	F	166.700	4.302e-02	1.000e+00
90190010002	F	252.364	8.333e-04	1.000e+00
90190010003	F	302.240	5.208e-04	1.000e+00
90190010004	F	325.606	4.167e-03	1.000e+00
90190010005	F	534.600	1.354e-03	1.000e+00
90190010006	F	556.400	2.094e-02	1.000e+00
90190010007	F	583.561	3.708e-01	1.000e+00
90190010008	F	620.431	2.469e-03	1.000e+00
90190010009	F	653.144	2.083e-03	1.000e+00
90190010010	F	656.006	2.052e-01	1.000e+00
90190010011	F	661.647	2.333e-02	1.000e+00
90190010012	F	662.250	1.063e-02	1.000e+00
90190010013	F	665.207	1.552e-01	1.000e+00
90190010014	F	670.570	3.125e-04	1.000e+00
90190010015	F	691.290	4.167e-04	1.000e+00
90190010016	F	734.783	6.250e-04	1.000e+00
90190010017	F	771.790	1.563e-03	1.000e+00
90190010018	F	791.200	4.167e-04	1.000e+00
90190010019	F	793.350	7.292e-04	1.000e+00
90190010020	F	820.880	5.208e-04	1.000e+00
90190010021	F	822.700	2.292e-02	1.000e+00
90190010022	F	885.095	5.208e-04	1.000e+00
90190010023	F	894.020	3.125e-04	1.000e+00
90190010024	F	978.190	7.083e-03	1.000e+00
90190010025	F	983.538	1.208e-01	1.000e+00
90190010026	F	987.240	4.167e-04	1.000e+00
90190010027	F	1021.060	3.125e-04	1.000e+00
90190010028	F	1045.980	1.865e-02	1.000e+00
90190010029	F	1056.776	9.896e-02	1.000e+00
90190010030	F	1135.470	1.125e-03	1.000e+00
90190010031	F	1148.077	2.688e-02	1.000e+00
90190010032	F	1187.725	4.688e-03	1.000e+00
90190010033	F	1282.150	8.854e-03	1.000e+00
90190010034	F	1306.220	9.375e-04	1.000e+00
90190010035	F	1309.126	7.917e-02	1.000e+00
90190010036	F	1318.480	2.438e-03	1.000e+00
90190010037	F	1371.520	1.500e-02	1.000e+00
90190010038	F	1375.200	5.208e-04	1.000e+00
90190010039	F	1387.901	8.542e-02	1.000e+00
90190010040	F	1392.191	8.646e-03	1.000e+00
90190010041	F	1542.498	2.823e-02	1.000e+00
90190010042	F	1545.760	1.354e-03	1.000e+00
90190010043	F	1555.630	5.208e-04	1.000e+00
90190010044	F	1644.538	7.604e-03	1.000e+00
90190010045	F	1708.470	2.604e-03	1.000e+00
90190010046	F	1742.670	6.250e-04	1.000e+00
90190010047	F	1836.290	1.677e-03	1.000e+00
90190010048	F	1843.688	6.250e-02	1.000e+00
90190010049	F	1853.880	1.354e-03	1.000e+00
90190010050	F	1935.520	7.604e-03	1.000e+00
90190010051	F	1970.726	8.854e-03	1.000e+00
90190010052	F	1970.960	1.042e-03	1.000e+00
90190010053	F	2009.520	4.792e-03	1.000e+00
90190010054	F	2038.070	1.563e-03	1.000e+00
90190010055	F	2042.040	5.208e-04	1.000e+00
90190010056	F	2043.858	7.292e-03	1.000e+00
90190010057	F	2052.600	5.208e-04	1.000e+00
90190010058	F	2079.750	1.146e-03	1.000e+00
90190010059	F	2121.160	1.573e-03	1.000e+00
90190010060	F	2143.248	2.031e-02	1.000e+00
90190010061	F	2179.091	9.271e-03	1.000e+00
90190010062	F	2188.000	1.354e-03	1.000e+00
90190010063	F	2194.159	1.375e-02	1.000e+00
90190010064	F	2208.720	2.083e-04	1.000e+00
90190010065	F	2229.750	5.521e-03	1.000e+00
90190010066	F	2232.980	2.188e-03	1.000e+00
90190010067	F	2255.830	8.854e-03	1.000e+00
90190010068	F	2309.929	4.688e-03	1.000e+00
90190010069	F	2324.120	1.229e-02	1.000e+00
90190010070	F	2337.470	1.458e-03	1.000e+00
90190010071	F	2346.180	2.188e-03	1.000e+00
90190010072	F	2349.445	3.229e-03	1.000e+00
90190010073	F	2352.400	1.771e-03	1.000e+00
90190010074	F	2370.830	8.333e-04	1.000e+00
90190010075	F	2427.820	1.969e-02	1.000e+00
90190010076	F	2431.084	4.083e-02	1.000e+00
90190010077	F	2431.425	7.292e-03	1.000e+00
90190010078	F	2447.574	1.500e-02	1.000e+00
90190010079	F	2458.240	6.250e-04	1.000e+00
90190010080	F	2469.340	2.021e-02	1.000e+00
90190010081	F	2504.658	3.958e-03	1.000e+00
90190010082	F	2519.020	7.083e-03	1.000e+00
90190010083	F	2529.212	6.354e-02	1.000e+00
90190010084	F	2529.553	9.375e-03	1.000e+00
90190010085	F	2556.370	1.667e-03	1.000e+00
90190010086	F	2600.790	4.167e-04	1.000e+00
90190010087	F	2602.786	3.646e-03	1.000e+00
90190010088	F	2623.160	4.688e-03	1.000e+00
90190010089	F	2636.090	1.000e-02	1.000e+00
90190010090	F	2655.700	7.917e-03	1.000e+00
90190010091	F	2690.270	6.250e-04	1.000e+00
90190010092	F	2698.320	4.167e-04	1.000e+00
90190010093	F	2864.650	2.292e-03	1.000e+00
90190010094	F	2920.960	1.000e-02	1.000e+00
90190010095	F	2930.284	8.854e-03	1.000e+00
90190010096	F	2933.550	2.396e-03	1.000e+00
90190010097	F	2965.854	9.688e-03	1.000e+00
90190010098	F	2969.800	1.667e-03	1.000e+00
90190010099	F	2981.260	3.646e-03	1.000e+00
90190010100	F	3014.568	4.219e-02	1.000e+00
90190010101	F	3023.890	3.333e-03	1.000e+00
90190010102	F	3025.100	8.750e-03	1.000e+00
90190010103	F	3051.435	3.094e-02	1.000e+00
90190010104	F	3071.000	2.083e-03	1.000e+00
90190010105	F	3074.780	1.938e-02	1.000e+00
90190010106	F	3098.330	7.292e-04	1.000e+00
